year_month;community;zone;is_freehold;secondary_price_per_sqft_usd;secondary_price_per_m2_usd;offplan_price_per_sqft_usd;rental_price_per_sqft_annual_usd;n_listings_secondary;n_listings_offplan;n_listings_rental;cbuae_base_rate_pct;avg_mortgage_rate_pct
2022-06;City Walk;Al Wasl;TRUE;664;7144;30,79;43;162;8;118;01.04;02.09
2022-07;City Walk;Al Wasl;TRUE;703;7568;31,33;46;145;10;102;01.04;02.09
2022-08;City Walk;Al Wasl;TRUE;709;7631;31,75;46;52;57;115;01.04;02.09
2022-09;City Walk;Al Wasl;TRUE;730;7853;32,42;47;39;75;87;01.04;02.09
2022-10;City Walk;Al Wasl;TRUE;712;7666;32,63;46;28;57;58;04.04;05.09
2022-11;City Walk;Al Wasl;TRUE;727;7826;33,38;47;41;31;47;04.04;05.09
2022-12;City Walk;Al Wasl;TRUE;742;7982;32,96;48;61;13;90;04.04;05.09
2023-01;City Walk;Al Wasl;TRUE;794;8548;33,75;52;16;41;114;04.04;05.09
2023-02;City Walk;Al Wasl;TRUE;797;8579;36,71;52;29;25;77;04.04;05.09
2023-03;City Walk;Al Wasl;TRUE;783;8425;37,67;51;88;13;82;04.04;05.09
2023-04;City Walk;Al Wasl;TRUE;797;8582;35,42;52;43;51;17;04.04;05.09
2023-05;City Walk;Al Wasl;TRUE;795;8555;35,46;52;146;38;22;04.04;05.09
2023-06;City Walk;Al Wasl;TRUE;854;9189;40,38;55;134;19;50;04.04;05.09
2023-07;City Walk;Al Wasl;TRUE;804;8655;37,38;52;75;66;50;05.04;06.09
2023-08;City Walk;Al Wasl;TRUE;871;9379;39,75;57;134;35;77;05.04;06.09
2023-09;City Walk;Al Wasl;TRUE;876;9425;40,58;57;44;66;86;05.04;06.09
2023-10;City Walk;Al Wasl;TRUE;871;9377;39,54;57;56;76;78;05.04;06.09
2023-11;City Walk;Al Wasl;TRUE;880;9478;39,75;57;139;25;49;05.04;06.09
2023-12;City Walk;Al Wasl;TRUE;893;9610;41,08;58;60;70;63;05.04;06.09
2024-01;City Walk;Al Wasl;TRUE;904;9734;42,50;59;166;5;17;05.04;06.09
2024-02;City Walk;Al Wasl;TRUE;856;9211;39,79;56;51;75;79;05.04;06.09
2024-03;City Walk;Al Wasl;TRUE;855;9199;39,92;56;104;53;16;05.04;06.09
2024-04;City Walk;Al Wasl;TRUE;896;9639;41,50;58;20;8;73;05.04;06.09
2024-05;City Walk;Al Wasl;TRUE;889;9571;40,71;58;83;58;18;05.04;06.09
2024-06;City Walk;Al Wasl;TRUE;859;9245;39,54;56;49;44;102;05.04;06.09
2024-07;City Walk;Al Wasl;TRUE;852;9172;38,67;55;53;21;35;0,211805556;06.15
2024-08;City Walk;Al Wasl;TRUE;859;9251;39,96;56;163;15;101;0,211805556;06.15
2024-09;City Walk;Al Wasl;TRUE;855;9203;38,79;56;129;58;38;0,211805556;06.15
2024-10;City Walk;Al Wasl;TRUE;896;9640;40,29;58;88;45;47;0,211805556;06.15
2024-11;City Walk;Al Wasl;TRUE;876;9426;39,58;57;100;52;78;0,211805556;06.15
2024-12;City Walk;Al Wasl;TRUE;853;9181;38,08;55;86;51;86;0,211805556;06.15
2025-01;City Walk;Al Wasl;TRUE;841;9052;39,83;55;85;66;42;0,211805556;06.15
2025-02;City Walk;Al Wasl;TRUE;845;9097;39,33;55;24;21;52;0,211805556;06.15
2025-03;City Walk;Al Wasl;TRUE;841;9048;38,54;55;28;59;27;0,211805556;06.15
2025-04;City Walk;Al Wasl;TRUE;860;9253;38,88;56;111;29;68;0,211805556;06.15
2025-05;City Walk;Al Wasl;TRUE;836;9003;38,25;54;87;36;46;0,211805556;06.15
2025-06;City Walk;Al Wasl;TRUE;848;9126;38,21;55;20;50;55;0,211805556;06.15
2025-07;City Walk;Al Wasl;TRUE;888;9560;42,67;58;54;51;13;04.00;05.05
2025-08;City Walk;Al Wasl;TRUE;856;9213;39,38;56;171;62;117;04.00;05.05
2025-09;City Walk;Al Wasl;TRUE;893;9607;40,08;58;61;50;32;04.00;05.05
2025-10;City Walk;Al Wasl;TRUE;810;8714;38,00;53;100;22;83;04.00;05.05
2025-11;City Walk;Al Wasl;TRUE;833;8969;38,25;54;139;16;59;04.00;05.05
2025-12;City Walk;Al Wasl;TRUE;822;8846;38,58;53;134;27;24;04.00;05.05
2026-01;City Walk;Al Wasl;TRUE;831;8947;38,75;54;38;79;28;04.00;05.05
2026-02;City Walk;Al Wasl;TRUE;847;9122;39,25;55;116;36;84;04.00;05.05
2026-03;City Walk;Al Wasl;TRUE;848;9125;39,79;55;19;28;97;04.00;05.05
2026-04;City Walk;Al Wasl;TRUE;862;9284;39,21;56;98;9;89;04.00;05.05
2020-01;Dubai Marina;Dubai Marina;TRUE;393;4229;18,58;26;162;53;77;01.05;03.00
2020-02;Dubai Marina;Dubai Marina;TRUE;393;4231;18,29;26;96;64;23;01.05;03.00
2020-03;Dubai Marina;Dubai Marina;TRUE;405;4362;18,58;26;62;11;64;01.05;03.00
2020-04;Dubai Marina;Dubai Marina;TRUE;408;4389;18,42;27;124;74;104;00.04;01.09
2020-05;Dubai Marina;Dubai Marina;TRUE;386;4155;17,21;25;161;34;99;00.04;01.09
2020-06;Dubai Marina;Dubai Marina;TRUE;384;4131;16,92;25;130;34;71;00.04;01.09
2020-07;Dubai Marina;Dubai Marina;TRUE;366;3935;17,42;24;81;15;87;00.04;01.09
2020-08;Dubai Marina;Dubai Marina;TRUE;360;3872;16,17;23;78;63;113;00.04;01.09
2020-09;Dubai Marina;Dubai Marina;TRUE;369;3976;16,88;24;112;64;68;00.04;01.09
2020-10;Dubai Marina;Dubai Marina;TRUE;362;3894;16,75;24;45;75;44;00.04;01.09
2020-11;Dubai Marina;Dubai Marina;TRUE;368;3963;16,46;24;22;60;67;00.04;01.09
2020-12;Dubai Marina;Dubai Marina;TRUE;382;4110;17,50;25;135;17;66;00.04;01.09
2021-01;Dubai Marina;Dubai Marina;TRUE;384;4132;17,58;25;61;31;68;00.04;01.09
2021-02;Dubai Marina;Dubai Marina;TRUE;406;4373;18,96;26;126;29;55;00.04;01.09
2021-03;Dubai Marina;Dubai Marina;TRUE;407;4379;19,46;26;29;58;49;00.04;01.09
2021-04;Dubai Marina;Dubai Marina;TRUE;408;4388;19,13;26;153;77;39;00.04;01.09
2021-05;Dubai Marina;Dubai Marina;TRUE;407;4385;19,33;26;37;11;79;00.04;01.09
2021-06;Dubai Marina;Dubai Marina;TRUE;432;4654;19,63;28;142;5;36;00.04;01.09
2021-07;Dubai Marina;Dubai Marina;TRUE;434;4676;20,33;28;92;44;87;00.04;01.09
2021-08;Dubai Marina;Dubai Marina;TRUE;441;4747;20,25;29;15;54;23;00.04;01.09
2021-09;Dubai Marina;Dubai Marina;TRUE;466;5019;21,83;30;98;45;67;00.04;01.09
2021-10;Dubai Marina;Dubai Marina;TRUE;439;4726;20,50;29;151;46;23;00.04;01.09
2021-11;Dubai Marina;Dubai Marina;TRUE;458;4931;20,33;30;31;14;110;00.04;01.09
2021-12;Dubai Marina;Dubai Marina;TRUE;472;5079;22,04;31;88;61;63;00.04;01.09
2022-01;Dubai Marina;Dubai Marina;TRUE;501;5397;23,04;33;176;23;11;00.04;01.09
2022-02;Dubai Marina;Dubai Marina;TRUE;507;5456;23,88;33;76;67;67;00.04;01.09
2022-03;Dubai Marina;Dubai Marina;TRUE;520;5600;22,63;34;145;51;101;00.04;01.09
2022-04;Dubai Marina;Dubai Marina;TRUE;516;5557;24,13;34;66;43;79;01.04;02.09
2022-05;Dubai Marina;Dubai Marina;TRUE;538;5788;23,83;35;125;42;34;01.04;02.09
2022-06;Dubai Marina;Dubai Marina;TRUE;562;6046;26,83;37;178;9;72;01.04;02.09
2022-07;Dubai Marina;Dubai Marina;TRUE;557;6000;25,50;36;123;8;20;01.04;02.09
2022-08;Dubai Marina;Dubai Marina;TRUE;577;6209;26,71;37;58;79;80;01.04;02.09
2022-09;Dubai Marina;Dubai Marina;TRUE;547;5891;25,96;36;176;39;49;01.04;02.09
2022-10;Dubai Marina;Dubai Marina;TRUE;596;6413;27,29;39;67;39;117;04.04;05.09
2022-11;Dubai Marina;Dubai Marina;TRUE;583;6276;25,29;38;85;71;84;04.04;05.09
2022-12;Dubai Marina;Dubai Marina;TRUE;568;6111;26,63;37;140;11;42;04.04;05.09
2023-01;Dubai Marina;Dubai Marina;TRUE;616;6632;27,92;40;124;18;100;04.04;05.09
2023-02;Dubai Marina;Dubai Marina;TRUE;621;6683;29,58;40;41;48;96;04.04;05.09
2023-03;Dubai Marina;Dubai Marina;TRUE;626;6733;29,79;41;149;68;94;04.04;05.09
2023-04;Dubai Marina;Dubai Marina;TRUE;634;6821;28,67;41;21;53;25;04.04;05.09
2023-05;Dubai Marina;Dubai Marina;TRUE;674;7256;30,42;44;137;48;118;04.04;05.09
2023-06;Dubai Marina;Dubai Marina;TRUE;685;7370;31,25;45;51;23;46;04.04;05.09
2023-07;Dubai Marina;Dubai Marina;TRUE;700;7532;31,17;45;90;22;83;05.04;06.09
2023-08;Dubai Marina;Dubai Marina;TRUE;693;7455;30,88;45;67;32;51;05.04;06.09
2023-09;Dubai Marina;Dubai Marina;TRUE;707;7608;32,67;46;25;54;94;05.04;06.09
2023-10;Dubai Marina;Dubai Marina;TRUE;742;7984;33,63;48;27;66;117;05.04;06.09
2023-11;Dubai Marina;Dubai Marina;TRUE;709;7627;33,50;46;99;33;91;05.04;06.09
2023-12;Dubai Marina;Dubai Marina;TRUE;700;7530;31,17;45;97;78;43;05.04;06.09
2024-01;Dubai Marina;Dubai Marina;TRUE;712;7661;32,46;46;69;43;113;05.04;06.09
2024-02;Dubai Marina;Dubai Marina;TRUE;688;7404;29,63;45;31;71;107;05.04;06.09
2024-03;Dubai Marina;Dubai Marina;TRUE;700;7534;31,58;45;45;44;10;05.04;06.09
2024-04;Dubai Marina;Dubai Marina;TRUE;693;7461;31,96;45;55;44;14;05.04;06.09
2024-05;Dubai Marina;Dubai Marina;TRUE;673;7239;30,21;44;142;70;89;05.04;06.09
2024-06;Dubai Marina;Dubai Marina;TRUE;694;7469;32,29;45;75;41;64;05.04;06.09
2024-07;Dubai Marina;Dubai Marina;TRUE;720;7748;33,13;47;92;46;114;0,211805556;06.15
2024-08;Dubai Marina;Dubai Marina;TRUE;704;7576;32,25;46;104;18;11;0,211805556;06.15
2024-09;Dubai Marina;Dubai Marina;TRUE;684;7358;31,79;44;155;22;109;0,211805556;06.15
2024-10;Dubai Marina;Dubai Marina;TRUE;703;7564;32,08;46;21;48;39;0,211805556;06.15
2024-11;Dubai Marina;Dubai Marina;TRUE;683;7352;30,67;44;41;44;109;0,211805556;06.15
2024-12;Dubai Marina;Dubai Marina;TRUE;664;7148;31,13;43;18;9;33;0,211805556;06.15
2025-01;Dubai Marina;Dubai Marina;TRUE;705;7589;31,79;46;86;63;81;0,211805556;06.15
2025-02;Dubai Marina;Dubai Marina;TRUE;686;7382;30,67;45;153;20;56;0,211805556;06.15
2025-03;Dubai Marina;Dubai Marina;TRUE;728;7840;34,25;47;179;15;43;0,211805556;06.15
2025-04;Dubai Marina;Dubai Marina;TRUE;673;7240;32,13;44;25;48;18;0,211805556;06.15
2025-05;Dubai Marina;Dubai Marina;TRUE;673;7241;29,54;44;37;59;40;0,211805556;06.15
2025-06;Dubai Marina;Dubai Marina;TRUE;671;7223;31,17;44;128;78;34;0,211805556;06.15
2025-07;Dubai Marina;Dubai Marina;TRUE;709;7637;33,50;46;144;14;105;04.00;05.05
2025-08;Dubai Marina;Dubai Marina;TRUE;696;7495;32,38;45;168;60;49;04.00;05.05
2025-09;Dubai Marina;Dubai Marina;TRUE;646;6955;29,79;42;68;8;10;04.00;05.05
2025-10;Dubai Marina;Dubai Marina;TRUE;686;7379;32,71;45;85;35;70;04.00;05.05
2025-11;Dubai Marina;Dubai Marina;TRUE;668;7185;29,79;43;158;43;51;04.00;05.05
2025-12;Dubai Marina;Dubai Marina;TRUE;669;7200;30,67;43;48;49;89;04.00;05.05
2026-01;Dubai Marina;Dubai Marina;TRUE;671;7227;29,38;44;106;12;79;04.00;05.05
2026-02;Dubai Marina;Dubai Marina;TRUE;660;7099;31,00;43;73;18;41;04.00;05.05
2026-03;Dubai Marina;Dubai Marina;TRUE;706;7598;32,67;46;112;49;33;04.00;05.05
2026-04;Dubai Marina;Dubai Marina;TRUE;681;7329;31,17;44;161;65;82;04.00;05.05
2020-01;Jumeirah Beach Residence;Dubai Marina;TRUE;421;4533;18,42;27;164;21;82;01.05;03.00
2020-02;Jumeirah Beach Residence;Dubai Marina;TRUE;428;4609;19,79;28;147;24;48;01.05;03.00
2020-03;Jumeirah Beach Residence;Dubai Marina;TRUE;429;4616;19,42;28;37;21;80;01.05;03.00
2020-04;Jumeirah Beach Residence;Dubai Marina;TRUE;416;4482;19,50;27;42;78;61;00.04;01.09
2020-05;Jumeirah Beach Residence;Dubai Marina;TRUE;405;4362;18,46;26;167;49;41;00.04;01.09
2020-06;Jumeirah Beach Residence;Dubai Marina;TRUE;425;4571;19,88;28;42;57;51;00.04;01.09
2020-07;Jumeirah Beach Residence;Dubai Marina;TRUE;416;4480;18,83;27;48;16;71;00.04;01.09
2020-08;Jumeirah Beach Residence;Dubai Marina;TRUE;402;4324;18,42;26;25;67;28;00.04;01.09
2020-09;Jumeirah Beach Residence;Dubai Marina;TRUE;404;4350;18,46;26;96;19;66;00.04;01.09
2020-10;Jumeirah Beach Residence;Dubai Marina;TRUE;380;4086;16,96;25;82;51;107;00.04;01.09
2020-11;Jumeirah Beach Residence;Dubai Marina;TRUE;391;4204;17,75;25;55;72;81;00.04;01.09
2020-12;Jumeirah Beach Residence;Dubai Marina;TRUE;391;4214;18,00;25;78;43;55;00.04;01.09
2021-01;Jumeirah Beach Residence;Dubai Marina;TRUE;425;4576;19,88;28;22;7;108;00.04;01.09
2021-02;Jumeirah Beach Residence;Dubai Marina;TRUE;433;4665;19,83;28;105;12;49;00.04;01.09
2021-03;Jumeirah Beach Residence;Dubai Marina;TRUE;439;4723;19,08;29;103;13;79;00.04;01.09
2021-04;Jumeirah Beach Residence;Dubai Marina;TRUE;444;4779;20,79;29;62;52;66;00.04;01.09
2021-05;Jumeirah Beach Residence;Dubai Marina;TRUE;434;4668;19,88;28;115;34;89;00.04;01.09
2021-06;Jumeirah Beach Residence;Dubai Marina;TRUE;436;4697;20,25;28;36;39;54;00.04;01.09
2021-07;Jumeirah Beach Residence;Dubai Marina;TRUE;453;4876;21,42;29;23;75;66;00.04;01.09
2021-08;Jumeirah Beach Residence;Dubai Marina;TRUE;461;4962;21,96;30;144;46;96;00.04;01.09
2021-09;Jumeirah Beach Residence;Dubai Marina;TRUE;482;5185;21,88;31;123;62;22;00.04;01.09
2021-10;Jumeirah Beach Residence;Dubai Marina;TRUE;477;5133;21,00;31;47;76;20;00.04;01.09
2021-11;Jumeirah Beach Residence;Dubai Marina;TRUE;492;5294;22,33;32;89;17;118;00.04;01.09
2021-12;Jumeirah Beach Residence;Dubai Marina;TRUE;497;5350;22,54;32;166;20;112;00.04;01.09
2022-01;Jumeirah Beach Residence;Dubai Marina;TRUE;508;5464;23,17;33;37;52;116;00.04;01.09
2022-02;Jumeirah Beach Residence;Dubai Marina;TRUE;508;5473;23,46;33;37;68;36;00.04;01.09
2022-03;Jumeirah Beach Residence;Dubai Marina;TRUE;528;5687;24,92;34;103;64;14;00.04;01.09
2022-04;Jumeirah Beach Residence;Dubai Marina;TRUE;578;6222;27,38;38;120;46;58;01.04;02.09
2022-05;Jumeirah Beach Residence;Dubai Marina;TRUE;582;6260;26,92;38;73;42;101;01.04;02.09
2022-06;Jumeirah Beach Residence;Dubai Marina;TRUE;575;6194;26,79;37;124;30;46;01.04;02.09
2022-07;Jumeirah Beach Residence;Dubai Marina;TRUE;610;6568;26,92;40;104;61;95;01.04;02.09
2022-08;Jumeirah Beach Residence;Dubai Marina;TRUE;583;6278;26,04;38;157;36;42;01.04;02.09
2022-09;Jumeirah Beach Residence;Dubai Marina;TRUE;625;6724;27,13;41;46;70;56;01.04;02.09
2022-10;Jumeirah Beach Residence;Dubai Marina;TRUE;623;6709;28,88;41;30;56;100;04.04;05.09
2022-11;Jumeirah Beach Residence;Dubai Marina;TRUE;595;6401;26,58;39;169;50;76;04.04;05.09
2022-12;Jumeirah Beach Residence;Dubai Marina;TRUE;641;6904;28,75;42;127;76;52;04.04;05.09
2023-01;Jumeirah Beach Residence;Dubai Marina;TRUE;628;6756;28,63;41;30;18;57;04.04;05.09
2023-02;Jumeirah Beach Residence;Dubai Marina;TRUE;672;7238;31,04;44;159;72;82;04.04;05.09
2023-03;Jumeirah Beach Residence;Dubai Marina;TRUE;668;7191;32,00;43;102;35;35;04.04;05.09
2023-04;Jumeirah Beach Residence;Dubai Marina;TRUE;690;7431;31,58;45;70;20;44;04.04;05.09
2023-05;Jumeirah Beach Residence;Dubai Marina;TRUE;691;7439;31,92;45;39;76;114;04.04;05.09
2023-06;Jumeirah Beach Residence;Dubai Marina;TRUE;726;7809;33,58;47;105;11;101;04.04;05.09
2023-07;Jumeirah Beach Residence;Dubai Marina;TRUE;729;7847;31,67;47;15;25;76;05.04;06.09
2023-08;Jumeirah Beach Residence;Dubai Marina;TRUE;734;7902;33,58;48;133;27;104;05.04;06.09
2023-09;Jumeirah Beach Residence;Dubai Marina;TRUE;763;8208;35,13;50;134;37;62;05.04;06.09
2023-10;Jumeirah Beach Residence;Dubai Marina;TRUE;787;8471;35,54;51;50;57;89;05.04;06.09
2023-11;Jumeirah Beach Residence;Dubai Marina;TRUE;779;8385;34,96;51;91;63;95;05.04;06.09
2023-12;Jumeirah Beach Residence;Dubai Marina;TRUE;718;7732;33,33;47;153;50;14;05.04;06.09
2024-01;Jumeirah Beach Residence;Dubai Marina;TRUE;710;7646;33,29;46;50;48;30;05.04;06.09
2024-02;Jumeirah Beach Residence;Dubai Marina;TRUE;743;7999;32,13;48;141;63;37;05.04;06.09
2024-03;Jumeirah Beach Residence;Dubai Marina;TRUE;759;8171;35,21;49;44;19;61;05.04;06.09
2024-04;Jumeirah Beach Residence;Dubai Marina;TRUE;718;7732;32,54;47;142;42;72;05.04;06.09
2024-05;Jumeirah Beach Residence;Dubai Marina;TRUE;748;8052;34,71;49;149;20;37;05.04;06.09
2024-06;Jumeirah Beach Residence;Dubai Marina;TRUE;742;7991;34,96;48;147;68;78;05.04;06.09
2024-07;Jumeirah Beach Residence;Dubai Marina;TRUE;755;8132;34,04;49;73;76;67;0,211805556;06.15
2024-08;Jumeirah Beach Residence;Dubai Marina;TRUE;728;7838;32,96;47;31;40;98;0,211805556;06.15
2024-09;Jumeirah Beach Residence;Dubai Marina;TRUE;715;7698;33,96;46;168;65;74;0,211805556;06.15
2024-10;Jumeirah Beach Residence;Dubai Marina;TRUE;730;7854;33,25;47;32;24;19;0,211805556;06.15
2024-11;Jumeirah Beach Residence;Dubai Marina;TRUE;711;7652;31,67;46;21;6;56;0,211805556;06.15
2024-12;Jumeirah Beach Residence;Dubai Marina;TRUE;731;7870;34,54;48;32;58;41;0,211805556;06.15
2025-01;Jumeirah Beach Residence;Dubai Marina;TRUE;733;7893;34,29;48;73;5;106;0,211805556;06.15
2025-02;Jumeirah Beach Residence;Dubai Marina;TRUE;729;7850;31,38;47;35;17;48;0,211805556;06.15
2025-03;Jumeirah Beach Residence;Dubai Marina;TRUE;712;7669;33,00;46;21;45;79;0,211805556;06.15
2025-04;Jumeirah Beach Residence;Dubai Marina;TRUE;708;7624;31,92;46;129;57;25;0,211805556;06.15
2025-05;Jumeirah Beach Residence;Dubai Marina;TRUE;748;8057;34,25;49;177;48;21;0,211805556;06.15
2025-06;Jumeirah Beach Residence;Dubai Marina;TRUE;743;7995;33,96;48;102;45;92;0,211805556;06.15
2025-07;Jumeirah Beach Residence;Dubai Marina;TRUE;724;7793;33,13;47;109;70;106;04.00;05.05
2025-08;Jumeirah Beach Residence;Dubai Marina;TRUE;705;7588;32,21;46;130;22;62;04.00;05.05
2025-09;Jumeirah Beach Residence;Dubai Marina;TRUE;721;7764;32,92;47;147;53;62;04.00;05.05
2025-10;Jumeirah Beach Residence;Dubai Marina;TRUE;725;7799;33,21;47;45;45;28;04.00;05.05
2025-11;Jumeirah Beach Residence;Dubai Marina;TRUE;771;8294;35,25;50;97;19;81;04.00;05.05
2025-12;Jumeirah Beach Residence;Dubai Marina;TRUE;746;8034;35,13;49;48;61;101;04.00;05.05
2026-01;Jumeirah Beach Residence;Dubai Marina;TRUE;743;8002;34,67;48;51;52;69;04.00;05.05
2026-02;Jumeirah Beach Residence;Dubai Marina;TRUE;715;7693;31,04;46;172;17;78;04.00;05.05
2026-03;Jumeirah Beach Residence;Dubai Marina;TRUE;698;7511;33,13;45;140;69;55;04.00;05.05
2026-04;Jumeirah Beach Residence;Dubai Marina;TRUE;749;8060;33,00;49;156;31;15;04.00;05.05
2020-01;Dubai Harbour;Dubai Marina;TRUE;600;6455;26,58;39;103;33;39;01.05;03.00
2020-02;Dubai Harbour;Dubai Marina;TRUE;576;6203;25,17;37;117;77;93;01.05;03.00
2020-03;Dubai Harbour;Dubai Marina;TRUE;591;6365;27,63;38;37;79;113;01.05;03.00
2020-04;Dubai Harbour;Dubai Marina;TRUE;601;6472;28,29;39;48;6;29;00.04;01.09
2020-05;Dubai Harbour;Dubai Marina;TRUE;595;6399;26,42;39;96;75;50;00.04;01.09
2020-06;Dubai Harbour;Dubai Marina;TRUE;576;6204;26,67;37;176;26;19;00.04;01.09
2020-07;Dubai Harbour;Dubai Marina;TRUE;557;5999;24,58;36;99;36;21;00.04;01.09
2020-08;Dubai Harbour;Dubai Marina;TRUE;557;5991;25,79;36;148;66;12;00.04;01.09
2020-09;Dubai Harbour;Dubai Marina;TRUE;573;6165;26,25;37;122;46;89;00.04;01.09
2020-10;Dubai Harbour;Dubai Marina;TRUE;546;5881;25,08;36;164;58;44;00.04;01.09
2020-11;Dubai Harbour;Dubai Marina;TRUE;573;6168;26,33;37;124;53;104;00.04;01.09
2020-12;Dubai Harbour;Dubai Marina;TRUE;552;5943;25,38;36;60;42;119;00.04;01.09
2021-01;Dubai Harbour;Dubai Marina;TRUE;592;6375;26,21;38;130;45;26;00.04;01.09
2021-02;Dubai Harbour;Dubai Marina;TRUE;613;6600;28,54;40;43;43;119;00.04;01.09
2021-03;Dubai Harbour;Dubai Marina;TRUE;605;6514;27,83;39;151;6;60;00.04;01.09
2021-04;Dubai Harbour;Dubai Marina;TRUE;616;6630;27,75;40;67;34;45;00.04;01.09
2021-05;Dubai Harbour;Dubai Marina;TRUE;642;6915;30,29;42;90;50;99;00.04;01.09
2021-06;Dubai Harbour;Dubai Marina;TRUE;652;7018;29,88;42;177;40;53;00.04;01.09
2021-07;Dubai Harbour;Dubai Marina;TRUE;650;7000;30,96;42;126;13;85;00.04;01.09
2021-08;Dubai Harbour;Dubai Marina;TRUE;643;6919;29,08;42;139;45;68;00.04;01.09
2021-09;Dubai Harbour;Dubai Marina;TRUE;660;7107;31,29;43;38;43;96;00.04;01.09
2021-10;Dubai Harbour;Dubai Marina;TRUE;671;7221;30,00;44;156;67;40;00.04;01.09
2021-11;Dubai Harbour;Dubai Marina;TRUE;710;7644;32,13;46;141;49;54;00.04;01.09
2021-12;Dubai Harbour;Dubai Marina;TRUE;717;7719;32,46;47;126;46;49;00.04;01.09
2022-01;Dubai Harbour;Dubai Marina;TRUE;759;8165;36,58;49;102;18;40;00.04;01.09
2022-02;Dubai Harbour;Dubai Marina;TRUE;740;7961;34,33;48;162;52;89;00.04;01.09
2022-03;Dubai Harbour;Dubai Marina;TRUE;779;8387;36,58;51;48;7;48;00.04;01.09
2022-04;Dubai Harbour;Dubai Marina;TRUE;788;8478;37,58;51;72;49;41;01.04;02.09
2022-05;Dubai Harbour;Dubai Marina;TRUE;795;8557;35,67;52;84;78;39;01.04;02.09
2022-06;Dubai Harbour;Dubai Marina;TRUE;800;8614;35,96;52;74;15;67;01.04;02.09
2022-07;Dubai Harbour;Dubai Marina;TRUE;825;8882;38,42;54;98;20;114;01.04;02.09
2022-08;Dubai Harbour;Dubai Marina;TRUE;810;8721;35,92;53;92;78;21;01.04;02.09
2022-09;Dubai Harbour;Dubai Marina;TRUE;843;9074;38,50;55;62;39;77;01.04;02.09
2022-10;Dubai Harbour;Dubai Marina;TRUE;868;9340;39,79;56;135;37;48;04.04;05.09
2022-11;Dubai Harbour;Dubai Marina;TRUE;892;9604;40,33;58;78;54;117;04.04;05.09
2022-12;Dubai Harbour;Dubai Marina;TRUE;927;9977;42,50;60;158;60;31;04.04;05.09
2023-01;Dubai Harbour;Dubai Marina;TRUE;963;10369;43,88;63;157;14;45;04.04;05.09
2023-02;Dubai Harbour;Dubai Marina;TRUE;929;10001;41,00;60;175;27;82;04.04;05.09
2023-03;Dubai Harbour;Dubai Marina;TRUE;952;10252;44,79;62;18;64;72;04.04;05.09
2023-04;Dubai Harbour;Dubai Marina;TRUE;961;10346;43,38;62;176;69;63;04.04;05.09
2023-05;Dubai Harbour;Dubai Marina;TRUE;972;10464;42,50;63;99;68;13;04.04;05.09
2023-06;Dubai Harbour;Dubai Marina;TRUE;1007;10834;46,92;65;35;34;76;04.04;05.09
2023-07;Dubai Harbour;Dubai Marina;TRUE;1023;11008;45,04;66;42;58;109;05.04;06.09
2023-08;Dubai Harbour;Dubai Marina;TRUE;1039;11181;45,00;68;112;25;91;05.04;06.09
2023-09;Dubai Harbour;Dubai Marina;TRUE;1057;11381;49,42;69;123;30;94;05.04;06.09
2023-10;Dubai Harbour;Dubai Marina;TRUE;1111;11960;52,25;72;149;60;10;05.04;06.09
2023-11;Dubai Harbour;Dubai Marina;TRUE;1085;11683;49,46;71;129;69;116;05.04;06.09
2023-12;Dubai Harbour;Dubai Marina;TRUE;1069;11507;48,17;69;174;43;87;05.04;06.09
2024-01;Dubai Harbour;Dubai Marina;TRUE;1081;11638;49,71;70;168;36;26;05.04;06.09
2024-02;Dubai Harbour;Dubai Marina;TRUE;1064;11448;50,04;69;70;63;98;05.04;06.09
2024-03;Dubai Harbour;Dubai Marina;TRUE;1057;11373;47,79;69;145;10;117;05.04;06.09
2024-04;Dubai Harbour;Dubai Marina;TRUE;1027;11051;46,71;67;162;28;39;05.04;06.09
2024-05;Dubai Harbour;Dubai Marina;TRUE;1051;11314;46,38;68;144;14;11;05.04;06.09
2024-06;Dubai Harbour;Dubai Marina;TRUE;1049;11297;47,71;68;23;15;112;05.04;06.09
2024-07;Dubai Harbour;Dubai Marina;TRUE;1041;11204;49,17;68;157;48;72;0,211805556;06.15
2024-08;Dubai Harbour;Dubai Marina;TRUE;1086;11687;48,83;71;166;31;98;0,211805556;06.15
2024-09;Dubai Harbour;Dubai Marina;TRUE;1029;11072;48,04;67;147;24;28;0,211805556;06.15
2024-10;Dubai Harbour;Dubai Marina;TRUE;1020;10976;48,63;66;168;78;96;0,211805556;06.15
2024-11;Dubai Harbour;Dubai Marina;TRUE;1003;10792;46,63;65;20;37;108;0,211805556;06.15
2024-12;Dubai Harbour;Dubai Marina;TRUE;978;10528;44,04;64;173;28;87;0,211805556;06.15
2025-01;Dubai Harbour;Dubai Marina;TRUE;1048;11283;47,08;68;55;72;12;0,211805556;06.15
2025-02;Dubai Harbour;Dubai Marina;TRUE;1051;11313;49,54;68;123;78;82;0,211805556;06.15
2025-03;Dubai Harbour;Dubai Marina;TRUE;1021;10989;46,79;66;170;26;56;0,211805556;06.15
2025-04;Dubai Harbour;Dubai Marina;TRUE;1031;11102;46,29;67;130;21;56;0,211805556;06.15
2025-05;Dubai Harbour;Dubai Marina;TRUE;1006;10830;45,67;65;95;53;91;0,211805556;06.15
